playerID,G,AB,R,H,HR,RBI,SB,BB,SO,seasons,BA,OBP,HR_rate,K_rate,inducted
burgesm01,1691,4471,485,1318,126,673.0,13.0,477,270.0,18,0.29478863788861553,0.3627728375101051,0.0281816148512637,0.060389174681279356,0
burkeje01,2067,8426,1720,2850,75,952.0,389.0,1029,613.0,16,0.33823878471398056,0.4102591221575886,0.00890102065036791,0.07275100878234038,1
burksel01,2000,7232,1253,2107,352,1206.0,181.0,793,1340.0,18,0.2913440265486726,0.3613707165109034,0.048672566371681415,0.18528761061946902,0
burleri01,1346,5139,656,1401,50,449.0,72.0,420,477.0,13,0.2726211325160537,0.32757690232056125,0.00972951936174353,0.09281961471103327,0
burnije01,1694,5710,917,1447,315,981.0,74.0,739,1376.0,14,0.25341506129597197,0.3389672817491084,0.05516637478108581,0.24098073555166374,0
burnsge01,1853,7241,1188,2077,41,611.0,383.0,872,565.0,15,0.286838834415136,0.3634906939479847,0.0056622013534042255,0.07802789669935092,0
burnsge02,1866,6573,901,2018,72,951.0,154.0,363,433.0,16,0.3070135402403773,0.3432814302191465,0.010953902327704245,0.06587555149855469,0
burrepa01,1640,5503,767,1393,292,976.0,7.0,932,1564.0,12,0.25313465382518624,0.3613053613053613,0.053061966200254405,0.2842086134835544,0
burroje01,1689,5536,720,1443,240,882.0,16.0,831,1135.0,16,0.26065751445086704,0.3571540757028428,0.04335260115606936,0.20502167630057805,0
bushdo01,1946,7210,1281,1804,9,436.0,404.0,1158,630.0,16,0.25020804438280164,0.3539674952198853,0.0012482662968099861,0.08737864077669903,0
bushjo01,581,1239,128,313,7,137.0,4.0,53,194.0,17,0.25262308313155774,0.28328173374613,0.005649717514124294,0.1565778853914447,0
butlebr01,2213,8180,1359,2375,54,578.0,558.0,1129,907.0,17,0.29034229828850855,0.3764099258781824,0.006601466992665036,0.110880195599022,0
cabreor01,1985,7562,985,2055,123,854.0,216.0,514,745.0,15,0.27175350436392487,0.3181030212976721,0.016265538217402804,0.09851891034117959,0
callijo01,1886,6652,926,1757,226,840.0,74.0,650,1064.0,16,0.2641310883944678,0.32963571624212545,0.03397474443776308,0.15995189416716776,0
camermi01,1955,6839,1064,1700,278,968.0,297.0,867,1901.0,17,0.24857435297558123,0.33311705164806643,0.04064921772188917,0.27796461470975287,0
camildo01,1490,5353,936,1482,239,950.0,60.0,947,961.0,12,0.2768541005043901,0.38555555555555554,0.044647861012516346,0.1795254997197833,0
caminke01,1760,6288,894,1710,239,983.0,88.0,727,1163.0,15,0.2719465648854962,0.3473984319315752,0.038008905852417306,0.1849554707379135,0
campabe01,2328,8684,1181,2249,79,646.0,649.0,618,1142.0,19,0.25898203592814373,0.30821328746506127,0.009097190234914785,0.13150621833256565,0
camparo01,1455,5050,787,1427,260,1015.0,39.0,608,514.0,18,0.28257425742574255,0.35966772711205375,0.05148514851485148,0.10178217821782178,1
cannich01,740,1950,132,458,18,169.0,3.0,241,354.0,13,0.23487179487179488,0.31903240529438615,0.009230769230769232,0.18153846153846154,0
cansejo01,1887,7057,1186,1877,462,1407.0,200.0,906,1942.0,17,0.265977044069718,0.3494913977144292,0.06546691228567379,0.27518775683718294,0
cardejo02,2017,6964,936,1913,138,775.0,329.0,608,807.0,18,0.2746984491671453,0.33293713681986264,0.019816197587593336,0.11588167719701321,0
cardele01,1941,6707,662,1725,118,689.0,39.0,522,1135.0,16,0.25719397644252273,0.3108313736339743,0.017593558968242134,0.16922618160131206,0
carewro01,2469,9315,1424,3053,92,1015.0,353.0,1018,1028.0,19,0.32775093934514227,0.39398045098228973,0.009876543209876543,0.11035963499731616,1
careyma01,2476,9363,1545,2665,70,800.0,738.0,1040,695.0,20,0.28463099433942113,0.3561472652119581,0.00747623624906547,0.07422834561572146,1
carltst01,745,1719,123,346,13,140.0,2.0,41,413.0,24,0.20127981384525886,0.21988636363636363,0.0075625363583478765,0.24025596276905178,1
carrach01,1325,4644,568,1199,55,474.0,31.0,491,467.0,10,0.258182601205857,0.3291139240506329,0.011843238587424634,0.10055986218776916,0
carribi02,709,1970,194,506,6,235.0,37.0,206,187.0,10,0.2568527918781726,0.3272058823529412,0.003045685279187817,0.09492385786802031,0
cartega01,2296,7971,1025,2092,324,1225.0,39.0,848,997.0,19,0.2624513862752478,0.3333711305136637,0.04064734663153933,0.12507840923347133,1
cartejo01,2189,8422,1170,2184,396,1445.0,231.0,527,1387.0,16,0.2593208264070292,0.3029388758520505,0.047019710282593205,0.164687722631204,0
cartyri01,1651,5606,712,1677,204,890.0,21.0,642,663.0,15,0.2991437745272922,0.37115877080665816,0.036389582590082056,0.11826614341776667,0
carutbo01,705,2465,508,695,29,359.0,152.0,417,140.0,10,0.281947261663286,0.38584316446911865,0.011764705882352941,0.056795131845841784,0
casanpa01,859,2786,214,627,50,252.0,2.0,101,430.0,10,0.2250538406317301,0.2521648770349844,0.017946877243359655,0.15434314429289303,0
casege01,1226,5016,785,1415,21,377.0,349.0,426,297.0,11,0.28209728867623607,0.33829474457919884,0.004186602870813397,0.05921052631578947,0
caseyse01,1405,5066,690,1531,130,735.0,18.0,477,577.0,12,0.30221081721279114,0.36225870467256,0.025661271219897353,0.11389656533754441,0
cashda01,1422,5554,732,1571,21,426.0,120.0,424,309.0,12,0.2828592005761613,0.3337236533957845,0.003781058696435002,0.05563557796182931,0
cashno01,2089,6705,1046,1820,377,1103.0,43.0,1043,1091.0,17,0.2714392244593587,0.36951471347444503,0.05622669649515287,0.16271439224459358,0
castilu01,1720,6510,1001,1889,28,443.0,370.0,800,850.0,15,0.2901689708141321,0.36785225718194253,0.004301075268817204,0.130568356374808,0
castivi02,1854,6822,902,1884,320,1105.0,33.0,423,1069.0,16,0.27616534740545295,0.3184265010351967,0.046907065376722366,0.15669891527411317,0
cavarph01,2030,6754,990,1977,95,920.0,65.0,820,598.0,22,0.292715427894581,0.3692896752046475,0.014065738821439147,0.08854012437074327,0
cedence01,2006,7310,1084,2087,199,976.0,550.0,664,938.0,17,0.28549931600547196,0.34499623777276145,0.02722298221614227,0.12831737346101232,0
cepedor01,2124,7927,1131,2351,379,1365.0,142.0,588,1169.0,17,0.2965813044026744,0.3451556077510276,0.047811277910937304,0.14747066986249527,1
ceyro01,2073,7162,977,1868,316,1139.0,24.0,1012,1235.0,17,0.2608209997207484,0.3523366772693908,0.044121753700083775,0.17243786651773246,0
chambch01,2175,7571,912,2109,185,972.0,40.0,632,926.0,17,0.2785629375247656,0.3341460441301963,0.02443534539690926,0.1223088099326377,0
chancfr01,1288,4299,798,1274,20,596.0,403.0,556,320.0,17,0.2963479879041638,0.3769309989701339,0.0046522447080716445,0.07443591532914631,1
chapmbe01,1717,6478,1144,1958,90,977.0,287.0,824,556.0,15,0.3022537820314912,0.38099150917556834,0.01389317690645261,0.08582895955541833,0
chapmra01,1051,3785,671,1053,17,364.0,233.0,452,427.0,9,0.27820343461030383,0.355204153882464,0.004491413474240423,0.11281373844121532,0
chapmsa01,1368,4988,754,1329,180,773.0,41.0,562,682.0,11,0.266439454691259,0.34072072072072074,0.03608660785886127,0.1367281475541299,0
charlos99,1336,4903,1164,1718,183,1139.0,311.0,647,29.0,27,0.3503977156842749,0.4261261261261261,0.03732408729349378,0.005914746073832348,1
chaseha01,1919,7417,980,2158,57,941.0,363.0,276,660.0,15,0.2909532155858164,0.3163915247627713,0.007685047863017392,0.08898476472967506,0
chaveer01,1615,5518,816,1477,260,902.0,50.0,639,1079.0,17,0.26766944545125043,0.3436738671430892,0.04711852120333454,0.19554186299383836,0
chesbja01,393,1103,85,217,5,82.0,5.0,25,269.0,11,0.19673617407071622,0.21453900709219859,0.004533091568449683,0.24388032638259294,1
cirilje01,1617,5396,800,1598,112,727.0,63.0,563,694.0,14,0.29614529280948854,0.3626447390501762,0.020756115641215715,0.1286137879911045,0
cissebi01,956,3707,516,990,29,423.0,113.0,212,250.0,9,0.26706231454005935,0.306710895636642,0.007823037496628,0.0674399784192069,0
clarkfr01,2246,8584,1622,2678,67,1015.0,509.0,875,511.0,21,0.3119757688723206,0.37562110159636325,0.007805219012115564,0.05952935694315005,1
